attendance,away_team,away_team_errors,away_team_hits,away_team_runs,boxscore_url,game_duration,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekday,year,month,day,period,field_type,start_time_weather
40168,Milwaukee Brewers,0,1,0,https://www.baseball-reference.com/boxes/SLN/SLN201604140.shtml,02:29:00,St. Louis Cardinals,0,11,7,12:46 p.m.,Busch Stadium III,Thursday, 2016,April,14,Day Game, on grass,"7&deg; F, Wind 7mph in from Centerfield, Sunny."
18751,Detroit Tigers,2,9,7,https://www.baseball-reference.com/boxes/PIT/PIT201604140.shtml,03:20:00,Pittsburgh Pirates,1,14,4,12:36 p.m.,PNC Park,Thursday, 2016,April,14,Day Game, on grass,"1&deg; F, Wind 8mph in from Leftfield, Sunny."
18079,San Diego Padres,1,3,0,https://www.baseball-reference.com/boxes/PHI/PHI201604140.shtml,02:27:00,Philadelphia Phillies,0,3,3,1:07 p.m.,Citizens Bank Park,Thursday, 2016,April,14,Day Game, on grass,"0&deg; F, Wind 7mph in from Centerfield, Sunny."
19736,Chicago White Sox,1,9,3,https://www.baseball-reference.com/boxes/MIN/MIN201604140.shtml,03:00:00,Minnesota Twins,1,4,1,12:11 p.m.,Target Field,Thursday, 2016,April,14,Day Game, on grass,"8&deg; F, Wind 19mph from Right to Left, Cloudy."
40879,Arizona Diamondbacks,1,6,2,https://www.baseball-reference.com/boxes/LAN/LAN201604140.shtml,02:36:00,Los Angeles Dodgers,0,8,5,7:09 p.m.,Dodger Stadium,Thursday, 2016,April,14,Night Game, on grass,"5&deg; F, Wind 12mph out to Rightfield, Sunny."
10117,Cleveland Indians,0,5,4,https://www.baseball-reference.com/boxes/TBA/TBA201604130.shtml,02:32:00,Tampa Bay Rays,2,5,1,7:09 p.m.,Tropicana Field,Wednesday, 2016,April,13,Night Game, on turf,"2&deg; F, Wind 0mph, In Dome."
40994,Milwaukee Brewers,1,9,6,https://www.baseball-reference.com/boxes/SLN/SLN201604130.shtml,02:49:00,St. Louis Cardinals,2,6,4,7:15 p.m.,Busch Stadium III,Wednesday, 2016,April,13,Night Game, on grass,"2&deg; F, Wind 7mph from Right to Left, Sunny."
15075,Texas Rangers,3,6,2,https://www.baseball-reference.com/boxes/SEA/SEA201604130.shtml,03:20:00,Seattle Mariners,1,8,4,12:40 p.m.,Safeco Field,Wednesday, 2016,April,13,Day Game, on grass,"5&deg; F, Wind 1mph in from Leftfield."
21175,Detroit Tigers,0,10,7,https://www.baseball-reference.com/boxes/PIT/PIT201604130.shtml,03:12:00,Pittsburgh Pirates,0,4,3,7:07 p.m.,PNC Park,Wednesday, 2016,April,13,Night Game, on grass,"4&deg; F, Wind 1mph in from Leftfield, Cloudy."
17638,San Diego Padres,3,6,1,https://www.baseball-reference.com/boxes/PHI/PHI201604130.shtml,02:36:00,Philadelphia Phillies,1,5,2,7:05 p.m.,Citizens Bank Park,Wednesday, 2016,April,13,Night Game, on grass,"5&deg; F, Wind 3mph out to Centerfield, Sunny."
11216,Los Angeles Angels of Anaheim,1,11,5,https://www.baseball-reference.com/boxes/OAK/OAK201604130.shtml,03:03:00,Oakland Athletics,0,3,1,12:37 p.m.,Oakland-Alameda County Coliseum,Wednesday, 2016,April,13,Day Game, on grass,"3&deg; F, Wind 11mph out to Rightfield, Cloudy."
22113,Miami Marlins,0,7,1,https://www.baseball-reference.com/boxes/NYN/NYN201604130.shtml,02:53:00,New York Mets,0,7,2,1:12 p.m.,Citi Field,Wednesday, 2016,April,13,Day Game, on grass,"2&deg; F, Wind 10mph in from Rightfield, Sunny."
21008,Chicago White Sox,0,9,3,https://www.baseball-reference.com/boxes/MIN/MIN201604130.shtml,02:51:00,Minnesota Twins,0,4,0,7:11 p.m.,Target Field,Wednesday, 2016,April,13,Night Game, on grass,"8&deg; F, Wind 6mph from Right to Left, Sunny."
44244,Arizona Diamondbacks,3,5,1,https://www.baseball-reference.com/boxes/LAN/LAN201604130.shtml,03:12:00,Los Angeles Dodgers,0,7,3,7:10 p.m.,Dodger Stadium,Wednesday, 2016,April,13,Night Game, on grass,"5&deg; F, Wind 6mph out to Rightfield, Sunny."
24109,Kansas City Royals,1,8,4,https://www.baseball-reference.com/boxes/HOU/HOU201604130.shtml,03:03:00,Houston Astros,1,6,2,7:11 p.m.,Minute Maid Park,Wednesday, 2016,April,13,Night Game, on grass,"3&deg; F, Wind 0mph, In Dome."
21891,San Francisco Giants,1,7,6,https://www.baseball-reference.com/boxes/COL/COL201604130.shtml,03:07:00,Colorado Rockies,0,18,10,6:40 p.m.,Coors Field,Wednesday, 2016,April,13,Night Game, on grass,"8&deg; F, Wind 7mph out to Centerfield, Cloudy."
36496,Cincinnati Reds,0,7,2,https://www.baseball-reference.com/boxes/CHN/CHN201604130.shtml,03:03:00,Chicago Cubs,0,8,9,7:06 p.m.,Wrigley Field,Wednesday, 2016,April,13,Night Game, on grass,"3&deg; F, Wind 8mph in from Rightfield."
31011,Baltimore Orioles,0,9,2,https://www.baseball-reference.com/boxes/BOS/BOS201604130.shtml,03:13:00,Boston Red Sox,0,8,4,7:10 p.m.,Fenway Park,Wednesday, 2016,April,13,Night Game, on grass,"4&deg; F, Wind 13mph from Right to Left, Sunny."
18378,Atlanta Braves,0,6,1,https://www.baseball-reference.com/boxes/WAS/WAS201604120.shtml,02:47:00,Washington Nationals,1,8,2,7:07 p.m.,Nationals Park,Tuesday, 2016,April,12,Night Game, on grass,"1&deg; F, Wind 14mph in from Leftfield, Sunny."
28819,New York Yankees,1,7,3,https://www.baseball-reference.com/boxes/TOR/TOR201604120.shtml,03:03:00,Toronto Blue Jays,1,3,2,7:08 p.m.,Rogers Centre,Tuesday, 2016,April,12,Night Game, on turf,"8&deg; F, Wind 0mph, In Dome."
10283,Cleveland Indians,0,5,1,https://www.baseball-reference.com/boxes/TBA/TBA201604120.shtml,02:34:00,Tampa Bay Rays,0,5,5,7:10 p.m.,Tropicana Field,Tuesday, 2016,April,12,Night Game, on turf,"2&deg; F, Wind 0mph, In Dome."
13376,Texas Rangers,1,12,8,https://www.baseball-reference.com/boxes/SEA/SEA201604120.shtml,02:35:00,Seattle Mariners,0,4,0,7:10 p.m.,Safeco Field,Tuesday, 2016,April,12,Night Game, on grass,"1&deg; F, Wind 0mph, In Dome."
21043,San Diego Padres,2,4,0,https://www.baseball-reference.com/boxes/PHI/PHI201604120.shtml,02:58:00,Philadelphia Phillies,1,4,3,7:06 p.m.,Citizens Bank Park,Tuesday, 2016,April,12,Night Game, on grass,"7&deg; F, Wind 17mph in from Leftfield, Sunny."
13492,Los Angeles Angels of Anaheim,1,10,5,https://www.baseball-reference.com/boxes/OAK/OAK201604120.shtml,02:41:00,Oakland Athletics,0,7,4,7:07 p.m.,Oakland-Alameda County Coliseum,Tuesday, 2016,April,12,Night Game, on grass,"8&deg; F, Wind 13mph out to Rightfield, Overcast."
28923,Miami Marlins,0,9,2,https://www.baseball-reference.com/boxes/NYN/NYN201604120.shtml,03:17:00,New York Mets,0,6,1,7:10 p.m.,Citi Field,Tuesday, 2016,April,12,Night Game, on grass,"6&deg; F, Wind 13mph in from Leftfield, Cloudy."
53279,Arizona Diamondbacks,0,9,4,https://www.baseball-reference.com/boxes/LAN/LAN201604120.shtml,03:00:00,Los Angeles Dodgers,1,9,2,1:15 p.m.,Dodger Stadium,Tuesday, 2016,April,12,Day Game, on grass,"2&deg; F, Wind 3mph out to Rightfield, Sunny."
21027,Kansas City Royals,0,7,3,https://www.baseball-reference.com/boxes/HOU/HOU201604120.shtml,03:17:00,Houston Astros,0,7,2,7:11 p.m.,Minute Maid Park,Tuesday, 2016,April,12,Night Game, on grass,"3&deg; F, Wind 0mph, In Dome."
26489,Pittsburgh Pirates,1,5,2,https://www.baseball-reference.com/boxes/DET/DET201604120.shtml,03:16:00,Detroit Tigers,1,14,8,1:10 p.m.,Comerica Park,Tuesday, 2016,April,12,Day Game, on grass,"3&deg; F, Wind 13mph out to Centerfield, Cloudy."
20814,San Francisco Giants,1,13,7,https://www.baseball-reference.com/boxes/COL/COL201604120.shtml,02:44:00,Colorado Rockies,0,7,2,6:41 p.m.,Coors Field,Tuesday, 2016,April,12,Night Game, on grass,"1&deg; F, Wind 6mph in from Rightfield, Overcast."
31114,Baltimore Orioles,0,11,9,https://www.baseball-reference.com/boxes/BOS/BOS201604120.shtml,03:23:00,Boston Red Sox,0,10,5,7:11 p.m.,Fenway Park,Tuesday, 2016,April,12,Night Game, on grass,"3&deg; F, Wind 12mph from Left to Right, Cloudy."
18119,Atlanta Braves,1,8,4,https://www.baseball-reference.com/boxes/WAS/WAS201604110.shtml,03:05:00,Washington Nationals,0,11,6,7:05 p.m.,Nationals Park,Monday, 2016,April,11,Night Game, on grass,"2&deg; F, Wind 10mph out to Centerfield, Sunny."
47608,Milwaukee Brewers,1,6,1,https://www.baseball-reference.com/boxes/SLN/SLN201604110.shtml,03:00:00,St. Louis Cardinals,0,19,10,3:18 p.m.,Busch Stadium III,Monday, 2016,April,11,Day Game, on grass,"0&deg; F, Wind 13mph out to Rightfield, Cloudy."
37160,Baltimore Orioles,2,9,9,https://www.baseball-reference.com/boxes/BOS/BOS201604110.shtml,03:26:00,Boston Red Sox,0,11,7,2:05 p.m.,Fenway Park,Monday, 2016,April,11,Day Game, on grass,"7&deg; F, Wind 22mph out to Centerfield."
24593,Miami Marlins,0,7,2,https://www.baseball-reference.com/boxes/WAS/WAS201604100.shtml,02:52:00,Washington Nationals,0,11,4,1:36 p.m.,Nationals Park,Sunday, 2016,April,10,Day Game, on grass,"3&deg; F, Wind 2mph out to Leftfield, Sunny."
46158,Boston Red Sox,1,7,0,https://www.baseball-reference.com/boxes/TOR/TOR201604100.shtml,02:27:00,Toronto Blue Jays,0,7,3,1:07 p.m.,Rogers Centre,Sunday, 2016,April,10,Day Game, on turf,"8&deg; F, Wind 0mph, In Dome."
41656,Los Angeles Dodgers,0,10,6,https://www.baseball-reference.com/boxes/SFN/SFN201604100.shtml,03:07:00,San Francisco Giants,0,12,9,1:07 p.m.,AT&T Park,Sunday, 2016,April,10,Day Game, on grass,"8&deg; F, Wind 10mph out to Leftfield, Overcast."
30834,Oakland Athletics,1,5,2,https://www.baseball-reference.com/boxes/SEA/SEA201604100.shtml,03:03:00,Seattle Mariners,0,6,1,1:10 p.m.,Safeco Field,Sunday, 2016,April,10,Day Game, on grass,"7&deg; F, Wind 1mph in unknown direction."
